0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
0 1 2 12 4 5 6 13 8 9 10 14 3 7 11 15
0 1 2 12 4 5 6 14 8 9 10 13 3 11 7 15
0 1 2 13 4 5 6 14 8 9 10 12 11 3 7 15
0 1 8 9 4 5 12 13 2 3 10 11 6 7 14 15
0 1 8 9 4 5 13 12 2 3 10 11 7 6 14 15
0 1 8 9 4 15 12 7 2 3 10 11 6 13 14 5
0 1 8 9 14 5 6 13 2 3 10 11 12 7 4 15
0 1 8 9 14 15 6 7 2 3 10 11 12 13 4 5
0 1 8 12 4 5 9 13 2 6 10 11 3 7 14 15
0 1 8 12 4 5 9 13 2 6 10 14 3 7 11 15
0 1 8 12 4 5 9 13 2 6 11 15 3 7 10 14
0 1 8 12 4 5 9 13 2 6 14 10 3 7 15 11
0 1 8 12 4 5 9 13 2 6 15 11 3 7 14 10
0 1 8 12 4 5 9 13 3 7 10 14 2 6 11 15
0 1 8 12 4 5 9 13 3 7 11 15 2 6 10 14
0 1 8 12 4 5 9 13 3 7 14 10 2 6 15 11
0 1 8 12 4 5 9 13 3 7 15 11 2 6 14 10
0 1 8 12 4 5 13 9 2 7 10 11 3 6 14 15
0 1 8 12 4 5 13 9 2 7 10 14 3 6 11 15
0 1 8 12 4 5 13 9 2 7 11 15 3 6 10 14
0 1 8 12 4 5 13 9 2 7 14 10 3 6 15 11
0 1 8 12 4 5 13 9 2 7 15 11 3 6 14 10
0 1 8 12 4 5 13 9 3 6 10 14 2 7 11 15
0 1 8 12 4 5 13 9 3 6 11 15 2 7 10 14
0 1 8 12 4 5 13 9 3 6 14 10 2 7 15 11
0 1 8 12 4 5 13 9 3 6 15 11 2 7 14 10
0 1 8 13 4 5 9 12 2 6 10 14 7 3 11 15
0 1 8 13 4 5 9 12 2 6 15 11 7 3 14 10
0 1 8 13 4 5 12 9 2 7 10 11 6 3 14 15
0 1 8 14 9 15 6 7 2 4 10 11 12 13 3 5
0 1 9 8 4 5 13 12 3 2 10 11 7 6 14 15
0 1 9 13 4 5 8 12 6 2 10 11 7 3 14 15
0 1 9 13 4 5 8 12 6 2 10 14 7 3 11 15
0 1 9 13 4 5 8 12 6 2 11 15 7 3 10 14
0 1 9 13 4 5 8 12 6 2 14 10 7 3 15 11
0 1 9 13 4 5 8 12 6 2 15 11 7 3 14 10
0 1 9 13 4 5 8 12 7 3 10 14 6 2 11 15
0 1 9 13 4 5 8 12 7 3 11 15 6 2 10 14
0 1 9 13 4 5 8 12 7 3 14 10 6 2 15 11
0 1 9 13 4 5 8 12 7 3 15 11 6 2 14 10
0 1 9 13 4 5 12 8 7 2 10 11 6 3 14 15
0 1 11 10 13 12 6 7 8 9 3 2 5 4 14 15
0 1 12 8 4 5 13 9 2 6 10 14 3 7 11 15
0 1 12 8 4 5 13 9 2 6 11 15 3 7 10 14
0 1 12 8 4 5 13 9 2 6 14 10 3 7 15 11
0 1 12 8 4 5 13 9 2 6 15 11 3 7 14 10
0 1 12 8 4 5 13 9 3 7 10 14 2 6 11 15
0 1 12 8 4 5 13 9 3 7 11 15 2 6 10 14
0 1 12 8 4 5 13 9 3 7 14 10 2 6 15 11
0 1 12 8 4 5 13 9 3 7 15 11 2 6 14 10
0 1 12 9 4 5 13 8 7 3 10 14 2 6 11 15
0 1 12 9 4 5 13 8 7 3 15 11 2 6 14 10
0 1 13 9 4 5 12 8 6 2 10 14 7 3 11 15
0 1 13 9 4 5 12 8 6 2 11 15 7 3 10 14
0 1 13 9 4 5 12 8 6 2 14 10 7 3 15 11
0 1 13 9 4 5 12 8 6 2 15 11 7 3 14 10
0 1 13 9 4 5 12 8 7 3 10 11 6 2 14 15
0 1 13 9 4 5 12 8 7 3 10 14 6 2 11 15
0 1 13 9 4 5 12 8 7 3 11 15 6 2 10 14
0 1 13 9 4 5 12 8 7 3 14 10 6 2 15 11
0 1 13 9 4 5 12 8 7 3 15 11 6 2 14 10
0 1 13 10 11 12 6 7 8 9 3 4 5 2 14 15
0 4 8 12 1 5 9 13 2 6 10 14 3 7 11 15
0 4 8 12 1 5 9 13 2 6 10 14 3 11 7 15
0 4 8 12 1 5 9 13 2 6 10 14 7 11 3 15
0 4 8 12 1 5 9 13 2 6 11 15 3 7 10 14
0 4 8 12 1 5 9 13 2 6 14 10 3 7 15 11
0 4 8 12 1 5 9 13 2 6 15 11 3 7 14 10
0 4 8 12 1 5 9 13 2 7 10 14 3 6 11 15
0 4 8 12 1 5 9 13 2 7 11 15 3 6 10 14
0 4 8 12 1 5 9 13 2 7 14 10 3 6 15 11
0 4 8 12 1 5 9 13 2 7 15 11 3 6 14 10
0 4 8 12 1 5 9 13 2 15 7 11 3 10 14 6
0 4 8 12 1 5 9 13 3 7 10 14 2 6 11 15
0 4 8 12 1 5 9 13 3 7 11 15 2 6 10 14
0 4 8 12 1 5 9 13 3 7 14 10 2 6 15 11
0 4 8 12 1 5 9 13 3 7 15 11 2 6 14 10
0 4 8 12 1 5 9 13 6 2 10 14 7 3 11 15
0 4 8 12 1 5 9 13 6 2 11 15 7 3 10 14
0 4 8 12 1 5 9 13 6 2 14 10 7 3 15 11
0 4 8 12 1 5 9 13 6 2 15 11 7 3 14 10
0 4 8 12 1 5 9 13 7 3 10 14 6 2 11 15
0 4 8 12 1 5 9 13 7 3 11 15 6 2 10 14
0 4 8 12 1 5 9 13 7 3 14 10 6 2 15 11
0 4 8 12 1 5 9 13 7 3 15 11 6 2 14 10
0 4 8 12 1 5 9 14 2 6 10 13 3 11 7 15
0 4 8 12 1 5 11 14 2 7 10 13 3 6 9 15
0 4 8 12 1 5 13 9 2 6 11 15 3 7 10 14
0 4 8 12 1 5 13 9 2 6 14 10 3 7 15 11
0 4 8 12 1 5 13 9 2 6 15 11 3 7 14 10
0 4 8 12 1 5 13 9 2 7 11 15 3 6 10 14
0 4 8 12 1 5 13 9 2 7 14 10 3 6 15 11
0 4 8 12 1 5 13 9 2 7 15 11 3 6 14 10
0 4 8 12 1 5 13 9 2 14 10 6 3 11 7 15
0 4 8 12 1 5 13 9 3 6 10 14 2 7 11 15
0 4 8 12 1 5 13 9 3 6 11 15 2 7 10 14
0 4 8 12 1 5 13 9 3 6 14 10 2 7 15 11
0 4 8 12 1 5 13 9 3 6 15 11 2 7 14 10
0 4 8 12 1 5 13 9 3 7 10 14 2 6 11 15
0 4 8 12 1 5 13 9 3 7 11 15 2 6 10 14
0 4 8 12 1 5 13 9 3 7 14 10 2 6 15 11
0 4 8 12 1 5 13 9 3 7 15 11 2 6 14 10
0 4 8 12 1 5 13 9 15 7 3 11 10 6 14 2
0 4 8 12 1 5 15 10 2 6 13 11 3 7 14 9
0 4 8 12 1 6 10 14 2 7 11 15 3 5 9 13
0 4 8 12 1 9 13 5 2 10 14 6 3 11 15 7
0 4 8 12 1 10 6 14 2 7 15 11 3 13 9 5
0 4 8 12 1 10 13 7 2 9 15 6 3 11 14 5
0 4 8 12 1 10 14 6 2 11 15 7 3 9 13 5
0 4 8 12 1 11 15 7 2 9 13 5 3 10 14 6
0 4 8 12 2 5 9 13 3 6 10 14 1 7 11 15
0 4 8 12 2 6 10 14 3 7 11 15 1 5 9 13
0 4 8 12 2 7 11 15 3 5 9 13 1 6 10 14
0 4 8 12 2 9 13 5 3 10 14 6 1 11 15 7
0 4 8 12 2 10 14 6 3 11 15 7 1 9 13 5
0 4 8 12 2 11 15 7 3 9 13 5 1 10 14 6
0 4 8 12 2 13 5 9 3 14 6 10 1 15 7 11
0 4 8 12 2 14 6 10 3 15 7 11 1 13 5 9
0 4 8 12 2 15 7 11 3 13 5 9 1 14 6 10
0 4 8 12 11 15 3 7 13 9 5 1 6 2 14 10
0 4 8 13 1 5 9 12 2 6 15 11 7 3 14 10
0 4 8 13 1 5 9 12 6 2 10 14 7 3 11 15
0 4 8 13 1 5 9 12 6 2 15 11 3 7 14 10
0 4 8 13 1 5 9 14 2 6 10 12 7 11 3 15
0 4 8 13 1 5 9 14 2 6 10 12 11 3 7 15
0 4 9 13 1 5 8 12 2 6 11 15 3 7 10 14
0 4 9 13 1 5 8 12 2 6 14 10 3 7 15 11
0 4 9 13 1 5 8 12 2 6 15 11 3 7 14 10
0 4 9 13 1 5 8 12 3 7 10 14 2 6 11 15
0 4 9 13 1 5 8 12 3 7 11 15 2 6 10 14
0 4 9 13 1 5 8 12 3 7 14 10 2 6 15 11
0 4 9 13 1 5 8 12 3 7 15 11 2 6 14 10
0 4 9 13 1 5 8 12 6 2 10 14 7 3 11 15
0 4 9 13 1 5 8 12 6 2 11 15 7 3 10 14
0 4 9 13 1 5 8 12 6 2 14 10 7 3 15 11
0 4 9 13 1 5 8 12 6 2 15 11 7 3 14 10
0 4 9 13 1 5 8 12 7 3 10 14 6 2 11 15
0 4 9 13 1 5 8 12 7 3 11 15 6 2 10 14
0 4 9 13 1 5 8 12 7 3 14 10 6 2 15 11
0 4 9 13 1 5 8 12 7 3 15 11 6 2 14 10
0 4 11 14 1 5 13 9 3 7 10 12 2 6 8 15
0 4 12 8 1 5 13 9 2 6 11 15 3 7 10 14
0 4 12 8 1 5 13 9 2 6 14 10 3 7 15 11
0 4 12 8 1 5 13 9 2 6 15 11 3 7 14 10
0 4 12 8 1 5 13 9 2 7 11 15 3 6 10 14
0 4 12 8 1 5 13 9 2 7 14 10 3 6 15 11
0 4 12 8 1 5 13 9 2 7 15 11 3 6 14 10
0 4 12 8 1 5 13 9 3 7 11 15 2 6 10 14
0 4 12 8 1 5 13 9 3 7 14 10 2 6 15 11
0 4 12 8 1 5 13 9 3 7 15 11 2 6 14 10
0 4 12 8 1 5 13 9 3 14 10 6 2 11 7 15
0 4 12 8 1 5 13 9 6 2 10 14 7 3 11 15
0 4 12 8 1 5 13 9 6 2 11 15 7 3 10 14
0 4 12 8 1 5 13 9 6 2 14 10 7 3 15 11
0 4 12 8 1 5 13 9 6 2 15 11 7 3 14 10
0 4 12 8 1 5 13 9 7 3 10 14 6 2 11 15
0 4 12 8 1 5 13 9 7 3 11 15 6 2 10 14
0 4 12 8 1 5 13 9 7 3 14 10 6 2 15 11
0 4 12 8 1 5 13 9 7 3 15 11 6 2 14 10
0 4 12 8 1 5 15 10 3 6 13 11 2 7 14 9
0 4 13 9 1 5 12 8 2 6 11 15 3 7 10 14
0 4 13 9 1 5 12 8 2 6 14 10 3 7 15 11
0 4 13 9 1 5 12 8 2 6 15 11 3 7 14 10
0 4 13 9 1 5 12 8 3 7 11 15 2 6 10 14
0 4 13 9 1 5 12 8 3 7 14 10 2 6 15 11
0 4 13 9 1 5 12 8 3 7 15 11 2 6 14 10
0 4 13 9 1 5 12 8 6 2 11 15 7 3 10 14
0 4 13 9 1 5 12 8 6 2 14 10 7 3 15 11
0 4 13 9 1 5 12 8 6 2 15 11 7 3 14 10
0 4 13 9 1 5 12 8 7 3 10 14 6 2 11 15
0 4 13 9 1 5 12 8 7 3 11 15 6 2 10 14
0 4 13 9 1 5 12 8 7 3 14 10 6 2 15 11
0 4 13 9 1 5 12 8 7 3 15 11 6 2 14 10
0 6 9 13 2 5 8 14 1 4 10 12 11 3 7 15
0 6 11 13 3 5 8 14 1 7 10 12 2 4 9 15
0 6 12 8 13 5 1 9 14 7 10 2 11 4 3 15
0 6 15 9 14 8 1 7 5 3 10 12 11 13 4 2
0 8 12 4 1 6 10 14 2 7 11 15 3 5 9 13
0 8 12 4 1 7 11 15 2 5 9 13 3 6 10 14
0 8 12 4 1 9 13 5 2 10 14 6 3 11 15 7
0 8 12 4 1 10 14 6 2 11 15 7 3 9 13 5
0 8 12 4 1 11 15 7 2 9 13 5 3 10 14 6
0 8 12 4 1 13 5 9 2 14 6 10 3 15 7 11
0 8 12 4 1 14 6 10 2 15 7 11 3 13 5 9
0 8 12 4 1 15 7 11 2 13 5 9 3 14 6 10
0 8 12 4 2 6 10 14 3 7 11 15 1 5 9 13
0 8 12 4 2 7 11 15 3 5 9 13 1 6 10 14
0 8 12 4 2 9 13 5 3 10 14 6 1 11 15 7
0 8 12 4 2 10 14 6 3 11 15 7 1 9 13 5
0 8 12 4 2 11 15 7 3 9 13 5 1 10 14 6
0 8 12 4 2 13 5 9 3 14 6 10 1 15 7 11
0 8 12 4 2 14 6 10 3 15 7 11 1 13 5 9
0 8 12 4 2 15 7 11 3 13 5 9 1 14 6 10
0 8 12 4 3 6 10 14 1 7 11 15 2 5 9 13
0 8 12 4 3 7 11 15 1 5 9 13 2 6 10 14
0 8 12 4 3 9 13 5 1 10 14 6 2 11 15 7
0 8 12 4 3 10 6 14 1 7 15 11 2 13 9 5
0 8 12 4 3 10 13 7 1 9 15 6 2 11 14 5
0 8 12 4 3 10 14 6 1 11 15 7 2 9 13 5
0 8 12 4 3 11 15 7 1 9 13 5 2 10 14 6
0 8 12 4 3 13 5 9 1 14 6 10 2 15 7 11
